Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta"
1;0;0;000;00;00;Clase;ACTIVO
1;1;0;000;00;00;Grupo;"Activo Corriente"
1;1;1;000;00;00;"Cuenta Mayor";Caja
1;1;1;001;00;00;Auxiliar;"Caja Chica"
1;1;1;002;00;00;Auxiliar;"Caja General"
1;1;1;003;00;00;Auxiliar;"Caja KM MOTOS"
1;1;1;003;01;00;"Sub cuentas del Aux";"Caja KM MOTOS COMAYAGUA"
1;1;1;003;02;00;"Sub cuentas del Aux";"Caja KM MOTOS COMAYAGÜELA"
1;1;1;003;03;00;"Sub cuentas del Aux";"Caja KM MOTOS CATACAMAS - OLANCHO"
1;1;1;003;04;00;"Sub cuentas del Aux";"Caja KM MOTOS JUTIAPA"
1;1;1;003;05;00;"Sub cuentas del Aux";"Caja KM MOTOS JUTICALPA"
1;1;1;003;06;00;"Sub cuentas del Aux";"Caja KM MOTOS RUTA #5"
1;1;1;003;07;00;"Sub cuentas del Aux";"Caja KM MOTOS RUTA #1"
1;1;1;003;08;00;"Sub cuentas del Aux";"Caja KM MOTOS RUTA #2"
1;1;1;003;09;00;"Sub cuentas del Aux";"Caja KM MOTOS RUTA #3"
1;1;1;003;10;00;"Sub cuentas del Aux";"Caja BODEGA 2 - KM MOTOS"
1;1;1;003;11;00;"Sub cuentas del Aux";"Caja CENTRO DE DISTRIBUCION KM MOTOS"
1;1;1;003;12;00;"Sub cuentas del Aux";"Caja KM MOTOS RUTA #4"
1;1;1;003;13;00;"Sub cuentas del Aux";"Caja KM MOTOS GUALACO"
1;1;1;003;14;00;"Sub cuentas del Aux";"Caja KM MOTOS CULMI"
1;1;1;003;15;00;"Sub cuentas del Aux";"Caja KM MOTOS SPS #1"
1;1;1;003;16;00;"Sub cuentas del Aux";"Caja KMS TIENDA VIRTUAL HN"
1;1;1;003;17;00;"Sub cuentas del Aux";"Caja KM MOTOS RUTA #6"
1;1;1;003;18;00;"Sub cuentas del Aux";"Caja KM MOTOS - LA PAZ"
1;1;1;003;19;00;"Sub cuentas del Aux";"Caja KM MOTOS TOCOA"
1;1;1;003;20;00;"Sub cuentas del Aux";"Caja KM MOTOS - TOROCAGUA"
1;1;1;003;21;00;"Sub cuentas del Aux";"Caja KM MOTOS SPS 2"
1;1;1;003;22;00;"Sub cuentas del Aux";"Caja KM MOTOS CATACAMAS 2 -OLANCHO "
1;1;1;003;22;00;"Sub cuentas del Aux";SAC
1;1;1;003;23;00;"Sub cuentas del Aux";"Caja KM MOTOS RUTA #7"
1;1;1;003;24;00;"Sub cuentas del Aux";"Caja KM MOTOS EL PROGRESO"
1;1;1;003;25;00;"Sub cuentas del Aux";"Caja KM MOTOS TELA"
1;1;1;003;26;00;"Sub cuentas del Aux";"Caja KM MOTOS SABA"
1;1;1;003;27;00;"Sub cuentas del Aux";"Caja KM MOTOS PEÑA BLANCA"
1;1;1;003;28;00;"Sub cuentas del Aux";"Caja KM MOTOS - RUTA 8"
1;1;1;003;29;00;"Sub cuentas del Aux";"Caja KM MOTOS - COUNTRY TEGUS"
1;1;1;003;30;00;"Sub cuentas del Aux";"Caja KM MOTOS - EL PROGRESO 2"
1;1;1;003;31;00;"Sub cuentas del Aux";"Caja KMMOTOS -   RUTA #9"
1;1;1;004;00;00;Auxiliar;"Caja ALL IN ONE"
1;1;1;004;01;00;"Sub cuentas del Aux";"Caja ALL IN ONE - CHOLUTECA "
1;1;1;004;02;00;"Sub cuentas del Aux";"Caja ALL IN ONE-COMAYAGUA #2 "
1;1;1;004;03;00;"Sub cuentas del Aux";"Caja KM MOTOS SIGUATEPEQUE #1"
1;1;1;004;04;00;"Sub cuentas del Aux";"Caja ALL IN ONE-SAN LORENZO"
1;1;1;004;05;00;"Sub cuentas del Aux";"Comayagua 7"
1;1;1;004;05;00;"Sub cuentas del Aux";"Caja ALL IN ONE LA ESPERANZA #1"
1;1;1;004;06;00;"Sub cuentas del Aux";"Caja ALL IN ONE COMAYAGUA #5"
1;1;1;004;07;00;"Sub cuentas del Aux";"Caja KM MOTOS - SANTA ROSA"
1;1;1;004;08;00;"Sub cuentas del Aux";"Caja KM MOTOS - SANTA BARBARA"
1;1;1;004;09;00;"Sub cuentas del Aux";"Caja KM MOTOS - TALANGA"
1;1;1;004;10;00;"Sub cuentas del Aux";"Caja ALL IN ONE - LA ESPERANZA #2"
1;1;1;004;11;00;"Sub cuentas del Aux";"Caja KM MOTOS - SIGUATEPEQUE #2"
1;1;1;004;12;00;"Sub cuentas del Aux";"Caja ALL IN ONE - AZACUALPA SANTA BARBARA"
1;1;1;004;13;00;"Sub cuentas del Aux";"Caja ALL IN ONE - LAS VEGAS SANTA BARBARA"
1;1;1;004;14;00;"Sub cuentas del Aux";"Caja ALL IN ONE - CHOLUTECA 2"
1;1;1;004;15;00;"Sub cuentas del Aux";"Caja ALL IN ONE - CHOLUTECA 3"
1;1;1;004;16;00;"Sub cuentas del Aux";"Caja ALL IN ONE  - MONJARAS"
1;1;1;004;17;00;"Sub cuentas del Aux";"Caja ALL IN ONE - NACAOME"
1;1;1;005;00;00;Auxiliar;"Caja KM CARS"
1;1;1;005;01;00;"Sub cuentas del Aux";"Caja KM MOTOS - COMAYAGUA #3"
1;1;1;005;02;00;"Sub cuentas del Aux";"Caja KM CARS - LA CUESTA "
1;1;1;005;03;00;"Sub cuentas del Aux";"Caja KM CARS LA LIBERTAD"
1;1;1;005;04;00;"Sub cuentas del Aux";"Caja KM CARS - VILLANUEVA"
1;1;1;005;05;00;"Sub cuentas del Aux";"Caja KM CARS - MARCALA #1"
1;1;1;005;06;00;"Sub cuentas del Aux";"Caja KM CARS GRACIAS LEMPIRA"
1;1;1;005;07;00;"Sub cuentas del Aux";"Caja KM MOTOS LA CEIBA"
1;1;1;005;08;00;"Sub cuentas del Aux";"Caja KM MOTOS PUERTO CORTES"
1;1;1;005;09;00;"Sub cuentas del Aux";"Caja KM MOTOS DANLI"
1;1;1;005;10;00;"Sub cuentas del Aux";"Caja KM CARS EL PARAISO"
1;1;1;005;11;00;"Sub cuentas del Aux";"Caja KM MOTOS CHOLOMA"
1;1;1;005;12;00;"Sub cuentas del Aux";"Caja KM CARS - MARCALA 2"
1;1;1;005;13;00;"Sub cuentas del Aux";"Caja KM CARS - LA ENTRADA COPAN"
1;1;1;005;14;00;"Sub cuentas del Aux";"Caja KM CARS - LA ENTRADA COPAN #2"
1;1;1;005;15;00;"Sub cuentas del Aux";"Caja KM CARS - SANTA CRUZ DE YOJOA"
1;1;1;005;16;00;"Sub cuentas del Aux";"Caja KM CARS - MORAZAN YORO"
1;1;1;005;17;00;"Sub cuentas del Aux";"Caja KM CARS - LA CUESTA #2"
1;1;1;005;18;00;"Sub cuentas del Aux";"Caja KM CARS- YORO, YORO"
1;1;1;005;19;00;"Sub cuentas del Aux";"Caja GRUPO KM CARS HN - DANLI 2"
1;1;1;006;00;00;Auxiliar;"Caja GRUPO KM MOTOS HN"
1;1;1;006;01;00;"Sub cuentas del Aux";"Caja KM MOTOS - VINI"
1;1;1;006;02;00;"Sub cuentas del Aux";"Caja GRUPO KM MOTOS - SPS 3"
1;1;1;006;03;00;"Sub cuentas del Aux";"Caja GRUPO KM MOTOS  - JUTICALPA 2"
1;1;1;006;04;00;"Sub cuentas del Aux";"Caja GRUPO KM MOTOS HN - SAN MARCOS DE COLON"
1;1;1;006;05;00;"Sub cuentas del Aux";"Caja GRUPO KM MOTOS HN - TEUPASENTI"
1;1;1;006;06;00;"Sub cuentas del Aux";"Caja KMMOTOS - COMAYAGUA #8"
1;1;1;007;00;00;Auxiliar;"Caja GRUPO KM CARS HN"
1;1;1;007;01;00;"Sub cuentas del Aux";"Caja ALL IN ONE COMAYAGUA #6"
1;1;1;007;02;00;"Sub cuentas del Aux";"Caja GRUPO TODO EN UNO HN - SANTA ROSA COPAN #2"
1;1;1;007;03;00;"Sub cuentas del Aux";"Caja GRUPO TODO EN UNO HN - SIGUATEPEQUE #3"
1;1;1;008;00;00;Auxiliar;"Caja GRUPO TODO EN UNO HN"
1;1;1;008;01;00;"Sub cuentas del Aux";"Caja ALL IN ONE- KM COMAYAGUA #4  "
1;1;1;008;02;00;"Sub cuentas del Aux";"Caja GRUPO TODO EN UNO - SAN JUAN "
1;1;1;008;03;00;"Sub cuentas del Aux";"Caja GRUPO TODO EN UNO HN - JESUS DE OTORO"
1;1;1;008;04;00;"Sub cuentas del Aux";"Caja ALL IN ONE - TAULABE"
1;1;1;008;05;00;"Sub cuentas del Aux";"Caja GRUPO KM CARS HN - TROJES"
1;1;1;008;06;00;"Sub cuentas del Aux";"Caja GRUPO KM CARS HN - SAN MARCOS DE OCOTEPEQUE"
1;1;1;008;07;00;"Sub cuentas del Aux";"Caja GRUPO TODO EN UNO HN - QUIMISTAN"
1;1;1;008;08;00;"Sub cuentas del Aux";"Caja GRUPO KM CARS HN - LEPAERA"
1;1;1;008;09;00;"Sub cuentas del Aux";"Caja  GRUPO KM CARS  - LA ENTRADA #3"
1;1;2;000;00;00;"Cuenta Mayor";Bancos
1;1;2;001;00;00;Auxiliar;"Banco Atantida"
1;1;2;001;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 120520068202"
1;1;2;001;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 120520110053"
1;1;2;001;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 120520148533"
1;1;2;001;04;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Dolares) - 120120249269"
1;1;2;002;00;00;Auxiliar;"Banco Azteca"
1;1;2;002;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 75080104256826"
1;1;2;002;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 77860107221984"
1;1;2;002;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 77860113320711"
1;1;2;003;00;00;Auxiliar;"Banco Occidente"
1;1;2;003;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 217010454710"
1;1;2;003;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 214300038685"
1;1;2;003;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 217010529710"
1;1;2;003;04;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Dolares) - 214300038685"
1;1;2;004;00;00;Auxiliar;"BAC Credomatic"
1;1;2;004;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 740518501"
1;1;2;004;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 741833011"
1;1;2;004;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 745979781"
1;1;2;004;04;00;"Sub cuentas del Aux";"KM MOTO S. DE R.L DE C.V. (Lempiras) - 1487408"
1;1;2;004;05;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 742478961"
1;1;2;005;00;00;Auxiliar;"Tigo Money"
1;1;2;005;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 3326-4857"
1;1;2;005;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 9977-1867"
1;1;2;005;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 9438-2083"
1;1;2;006;00;00;Auxiliar;Banrural
1;1;2;006;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 34110087889"
1;1;2;006;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 34110090023"
1;1;2;006;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 8110520476"
1;1;2;007;00;00;Auxiliar;Ficohsa
1;1;2;007;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 8371261"
1;1;2;007;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 200015653147"
1;1;2;007;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 200015380267"
1;1;2;007;04;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Dolares) - 200013223636"
